Título,Autor,Ano de publicação,Número de páginas
O Caçador de Pipas,Khaled Hosseini,2003,368
Torto Arado,Itamar Vieira Junior,2019,264
1984,George Orwell,1949,328
Dom Casmurro,Machado de Assis,1899,384
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,96
A Menina que Roubava Livros,Markus Zusak,2005,552
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,223
O Senhor dos Anéis,J.R.R. Tolkien,1954,1216
Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,2011,412
O Alquimista,Paulo Coelho,1988,208
